longitude,latitude,fault
66.3010,86.6060,0
66.5440,86.6550,0
66.5440,86.6550,0
62.4630,86.7550,0
61.5060,86.8050,0
58.0180,86.7870,0
54.5610,86.7460,0
50.7700,86.7060,0
47.5230,86.6410,0
46.0630,86.5980,0
46.0630,86.5980,0
46.3140,86.5610,0
70.0895,86.4040,0
66.3010,86.6060,0
46.3140,86.5610,0
43.4790,86.4960,0
41.7560,86.4320,0
38.3010,86.2910,0
35.6070,86.1610,0
33.3400,86.0530,0
30.9720,85.9080,0
29.2290,85.8100,0
28.1430,85.8740,0
27.4270,85.8670,0
25.3830,85.8590,0
23.3470,85.8170,0
21.3430,85.7990,0
19.2850,85.6840,0
17.8900,85.5910,0
16.0630,85.4850,0
14.6660,85.3800,0
13.2420,85.2810,0
11.7040,85.1370,0
10.6590,85.0670,0
9.8090,84.9580,0
9.8090,84.9580,0
8.9380,85.0090,0
8.9380,85.0090,0
8.1340,84.8980,0
6.6650,84.7620,0
5.1770,84.6320,0
4.5080,84.5700,0
4.5080,84.5700,0
4.0350,84.5970,0
4.0350,84.5970,0
3.8480,84.5610,0
3.0240,84.4620,0
2.2350,84.3430,0
1.3010,84.2230,0
0.4050,84.1020,0
-0.4690,83.9960,0
-1.2060,83.8640,0
-2.3630,83.6900,0
-3.2040,83.5700,0
-4.1480,83.4300,0
-5.1540,83.2490,0
-6.2340,83.0000,0
-7.2120,82.8680,0
-7.2120,82.8680,0
-5.8650,82.6910,0
-5.8650,82.6910,0
-5.0100,82.5190,0
-5.0100,82.5190,0
-3.7000,82.3280,0
-3.7000,82.3280,0
-3.7960,82.2900,0
-4.5370,82.0500,0
-5.0330,81.9130,0
-3.9090,81.6200,0
-4.1520,81.5520,0
-4.6410,81.3700,0
-4.6410,81.3700,0
-3.4540,81.2510,0
-2.4140,81.1260,0
-2.4140,81.1260,0
-2.7790,80.9930,0
-3.3640,80.7920,0
-3.3640,80.7920,0
-2.9420,80.7560,0
-1.6840,80.6250,0
-1.6840,80.6250,0
-2.3410,80.3700,0
-2.3410,80.3700,0
-1.7660,80.3090,0
-0.9690,80.2130,0
-0.2510,80.1420,0
0.6280,80.0260,0
1.4870,79.9090,0
2.3780,79.7800,0
3.2960,79.6580,0
4.3900,79.5330,0
4.3900,79.5330,0
3.9010,79.2280,0
3.4320,79.0300,0
3.4320,79.0300,0
3.8570,78.9500,0
